"file","website_usage","source","status"
"frontend/public/assets/images/gallery/09-dense-festival-crowd.jpg","Gallery: Dense festival crowd","https://images.pexels.com/photos/9534912/pexels-photo-9534912.jpeg","downloaded-stock"
"frontend/public/assets/images/gallery/10-mixing-console.jpg","Gallery: Mixing console","https://images.unsplash.com/photo-1520523839897-bd0b52f945a0","downloaded-stock"
"docs/media/broken-sources/gallery-rooftop-set.txt","Gallery: Rooftop set","https://images.unsplash.com/photo-1571266028243-e4733b0f0bb0","404-source-broken"
"frontend/public/assets/images/gallery/12-stage-silhouette.jpg","Gallery: Stage silhouette","https://images.unsplash.com/photo-1459749411175-04bf5292ceea","downloaded-stock"
"frontend/public/assets/images/events/01-awakenings-festival.jpg","Event: Awakenings Festival","https://images.unsplash.com/photo-1721133073235-e4b5facb27fa","downloaded-stock"
"frontend/public/assets/images/events/02-club-nebula.jpg","Event: Club Nebula","https://images.pexels.com/photos/9534912/pexels-photo-9534912.jpeg","downloaded-stock"
"docs/media/broken-sources/event-neon-skyline-rooftop.txt","Event: Neon Skyline Rooftop","https://images.unsplash.com/photo-1571266028243-e4733b0f0bb0","404-source-broken"
"frontend/public/assets/images/events/04-tomorrowland-rose-garden.jpg","Event: Tomorrowland Rose Garden","https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3","downloaded-stock"
"frontend/public/assets/images/events/05-ultra-music-festival.jpg","Event: Ultra Music Festival","https://images.unsplash.com/photo-1470229722913-7c0e2dbbafd3","downloaded-stock"
"frontend/public/assets/images/events/06-warehouse-sessions.jpg","Event: Warehouse Sessions","https://images.unsplash.com/photo-1516873240891-4bf014598ab4","downloaded-stock"
"frontend/public/assets/images/testimonials/01-lena-vogt.jpg","Testimonial: Lena Vogt","https://i.pravatar.cc/120?img=5","downloaded-placeholder"
"frontend/public/assets/images/testimonials/02-marco-bellini.jpg","Testimonial: Marco Bellini","https://i.pravatar.cc/120?img=12","downloaded-placeholder"
"frontend/public/assets/images/testimonials/03-aisha-rahman.jpg","Testimonial: Aisha Rahman","https://i.pravatar.cc/120?img=32","downloaded-placeholder"
"frontend/public/assets/images/testimonials/04-david-osei.jpg","Testimonial: David Osei","https://i.pravatar.cc/120?img=15","downloaded-placeholder"
"frontend/public/assets/images/video-thumbnails/01-neon-cathedral.jpg","Video thumbnail: Neon Cathedral","https://img.youtube.com/vi/dQw4w9WgXcQ/hqdefault.jpg","downloaded-remote"
"frontend/public/assets/images/video-thumbnails/02-live-at-awakenings-2025.jpg","Video thumbnail: Live at Awakenings 2025","https://img.youtube.com/vi/5qap5aO4i9A/hqdefault.jpg","downloaded-remote"
"docs/media/broken-sources/video-sunrise-dj-set-tulum-thumbnail.txt","Video thumbnail: Sunrise DJ Set - Tulum","https://img.youtube.com/vi/jfKfPfyJRdk/hqdefault.jpg","404-source-broken"
"frontend/public/assets/images/video-thumbnails/04-building-electric-bloom.jpg","Video thumbnail: Building Electric Bloom","https://img.youtube.com/vi/5yx6BWlEVcY/hqdefault.jpg","downloaded-remote"
"frontend/public/assets/images/video-thumbnails/05-europe-tour-diary.jpg","Video thumbnail: Europe Tour Diary","https://img.youtube.com/vi/hHW1oY26kxQ/hqdefault.jpg","downloaded-remote"
"frontend/public/assets/images/video-thumbnails/06-midnight-voltage-visualizer.jpg","Video thumbnail: Midnight Voltage Visualizer","https://img.youtube.com/vi/9bZkp7q19f0/hqdefault.jpg","downloaded-remote"
